DATE,DCOILBRENTEU
2020/1/7,68.74
2020/1/8,67.31
2020/1/9,66.58
2020/1/10,66.77
2020/1/13,64.14
2020/1/14,64.45
2020/1/15,63.29
2020/1/16,64.63
2020/1/17,64.05
2020/1/20,64.63
2020/1/21,63.66
2020/1/22,62.11
2020/1/23,61.26
2020/1/24,59.34
2020/1/27,58.54
2020/1/28,59.37
2020/1/29,59.46
2020/1/30,57.72
2020/1/31,57.77
2020/2/3,54
2020/2/4,53.9
2020/2/5,55.36
2020/2/6,55.18
2020/2/7,54.53
2020/2/10,53.39
2020/2/11,54
2020/2/12,55.54
2020/2/13,56.34
2020/2/14,57.37
2020/2/17,57.83
2020/2/18,57.35
2020/2/19,59.72
2020/2/20,59.57
2020/2/21,58.6
2020/2/24,56.71
2020/2/25,55.29
2020/2/26,54.96
2020/2/27,52.19
2020/2/28,51.31
2020/3/2,52.52
2020/3/3,52.24
2020/3/4,51.86
2020/3/5,51.29
2020/3/6,45.6
2020/3/9,35.33
2020/3/10,35.57
2020/3/11,34.45
2020/3/12,31.02
2020/3/13,32.25
2020/3/16,27.98
2020/3/17,27.97
2020/3/18,22.79
2020/3/19,23.98
2020/3/20,25.55
2020/3/23,23.75
2020/3/24,24.5
2020/3/25,25.62
2020/3/26,23.55
2020/3/27,22.39
2020/3/30,19.19
2020/3/31,14.85
2020/4/1,14.97
2020/4/2,20.24
2020/4/3,24.33
2020/4/6,22.58
2020/4/7,22.1
2020/4/8,25.22
2020/4/9,20.23
2020/4/10,.
2020/4/13,.
2020/4/14,21.74
2020/4/15,19.8
2020/4/16,18.69
2020/4/17,19.75
2020/4/20,17.36
2020/4/21,9.12
2020/4/22,13.77
2020/4/23,15.06
2020/4/24,15.87
2020/4/27,15.17
2020/4/28,15.6
2020/4/29,17.86
2020/4/30,18.11
2020/5/1,18.49
2020/5/4,20.4
2020/5/5,25.46
2020/5/6,24.2
2020/5/7,24.23
2020/5/8,.
2020/5/11,25.53
2020/5/12,26.67
2020/5/13,27.89
2020/5/14,29.87
2020/5/15,30.95
2020/5/18,33.3
2020/5/19,33.06
2020/5/20,34.76
2020/5/21,34.78
2020/5/22,33.8
2020/5/25,.
2020/5/26,33.95
2020/5/27,32.73
